id,name,mileage,model,trim,price
1,پژو، 206,179,9,400,300
2,پژو، 206,53,17,100,360
3,پژو، 206,73,19,100,465
4,پژو، 206,144,16,100,370
5,پژو، 206,330,8,300,290
6,پژو، 206,113,19,300,490
7,پژو، 206,205,13,300,389
8,پژو، 206,220,7,100,255
9,پژو، 206,137,18,300,520
10,پژو، 206,127,16,300,450
11,پژو، 206,99,17,100,440
12,پژو، 206,78,18,300,530
13,پژو، 206,160,10,400,330
14,پژو، 206,102,18,300,460
15,پژو، 206,297,5,400,300
16,پژو، 206,30,19,300,590
17,پژو، 206,211,15,100,355
18,پژو، 206,207,9,100,290
19,پژو، 206,76,18,300,525
20,پژو، 206,306,9,300,305
21,پژو، 206,171,11,100,350
22,پژو، 206,229,13,300,388
23,پژو، 206,0,22,400,660
24,پژو، 206,140,19,100,452
25,پژو، 206,242,5,200,330
26,پژو، 206,64,17,100,448
27,پژو، 206,16,21,100,565
28,پژو، 206,181,10,100,268
29,پژو، 206,5,21,400,605
30,پژو، 206,175,15,300,425
31,پژو، 206,150,16,300,420
32,پژو، 206,125,5,200,310
33,پژو، 206,86,20,100,500
34,پژو، 206,37,20,100,495
35,پژو، 206,162,16,100,375
36,پژو، 206,99,17,100,440
37,پژو، 206,172,15,300,386
38,پژو، 206,236,5,400,275
39,پژو، 206,106,10,100,330
40,پژو، 206,33,18,100,475
41,پژو، 206,23,21,100,485
42,پژو، 206,160,5,200,400
43,پژو، 206,280,9,100,290
44,پژو، 206,11,19,300,580
45,پژو، 206,350,8,100,275
46,پژو، 206,48,18,100,467
47,پژو، 206,400,1,100,175
48,پژو، 206,320,9,100,315
49,پژو، 206,10,21,100,558
50,پژو، 206,177,6,400,250
51,پژو، 206,186,11,100,352
52,پژو، 206,85,17,100,435
53,پژو، 206,348,2,100,235
54,پژو، 206,150,16,300,449
55,پژو، 206,25,21,400,590
56,پژو، 206,60,14,300,440
57,پژو، 206,203,11,100,350
58,پژو، 206,27,22,400,595
59,پژو، 206,64,19,100,480
60,پژو، 206,147,13,300,390
61,پژو، 206,402,2,100,190
62,پژو، 206,100,16,0,440
63,پژو، 206,214,4,200,280
64,پژو، 206,50,18,100,465
65,پژو، 206,76,18,300,550
66,پژو، 206,170,14,100,380
67,پژو، 206,33,18,300,530
68,پژو، 206,80,19,100,465
69,پژو، 206,75,19,100,495
70,پژو، 206,107,15,300,430
71,پژو، 206,42,18,100,470
72,پژو، 206,49,18,300,510
73,پژو، 206,17,21,100,549
74,پژو، 206,22,18,300,575
75,پژو، 206,50,19,300,579
76,پژو، 206,8,21,100,575
77,پژو، 206,10,20,100,510
78,پژو، 206,11,22,400,595
79,پژو، 206,82,18,300,535
80,پژو، 206,75,18,300,559
81,پژو، 206,185,13,300,340
82,پژو، 206,167,10,200,380
83,پژو، 206,289,6,100,230
84,پژو، 206,239,9,100,298
85,پژو، 206,61,18,100,475
86,پژو، 206,141,15,300,390
87,پژو، 206,69,20,100,493
88,پژو، 206,25,19,100,470
89,پژو، 206,116,19,300,415
90,پژو، 206,60,19,100,485
91,پژو، 206,124,13,300,395
92,پژو، 206,450,2,100,130
93,پژو، 206,65,19,100,480
94,پژو، 206,213,8,200,345
95,پژو، 206,204,8,200,355
96,پژو، 206,401,3,100,198
97,پژو، 206,158,10,300,375
98,پژو، 206,200,16,300,435
99,پژو، 206,87,10,300,330
100,پژو، 206,168,15,100,360
101,پژو، 206,185,15,300,410
102,پژو، 206,110,16,300,435
103,پژو، 206,290,8,100,275
104,پژو، 206,62,20,100,490
105,پژو، 206,140,15,300,420
106,پژو، 206,110,15,300,430
107,پژو، 206,111,16,100,417
108,پژو، 206,145,16,300,430
109,پژو، 206,284,7,100,290
110,پژو، 206,298,10,100,265
111,پژو، 206,97,18,100,450
112,پژو، 206,270,10,100,300
113,پژو، 206,87,17,100,427
114,پژو، 206,345,5,100,259
115,پژو، 206,160,16,300,435
116,پژو، 206,135,18,300,510
117,پژو، 206,84,18,300,530
118,پژو، 206,72,20,100,475
119,پژو، 206,23,19,300,590
120,پژو، 206,233,4,400,280
121,پژو، 206,150,14,300,420
122,پژو، 206,152,10,200,395
123,پژو، 206,219,16,100,400
124,پژو، 206,135,15,300,430
125,پژو، 206,98,19,100,502
126,پژو، 206,320,7,300,285
127,پژو، 206,165,4,100,195
128,پژو، 206,32,21,100,515
129,پژو، 206,119,16,300,438
130,پژو، 206,302,9,100,270
131,پژو، 206,206,15,100,345
132,پژو، 206,129,19,100,440
133,پژو، 206,63,16,100,400
134,پژو، 206,58,18,300,520
135,پژو، 206,167,10,200,380
136,پژو، 206,20,21,400,560
137,پژو، 206,110,14,100,330
138,پژو، 206,200,15,300,440
139,پژو، 206,230,16,300,420
140,پژو، 206,135,15,300,390
141,پژو، 206,195,6,200,310
142,پژو، 206,24,21,100,530
143,پژو، 206,88,18,300,490
144,پژو، 206,48,19,100,490
145,پژو، 206,221,9,200,375
146,پژو، 206,50,20,100,515
147,پژو، 206,145,14,300,435
148,پژو، 206,90,18,300,530
149,پژو، 206,120,19,100,423
150,پژو، 206,50,19,100,480
151,پژو، 206,0,21,400,600
152,پژو، 206,34,21,400,560
153,پژو، 206,200,11,100,275
154,پژو، 206,0,19,300,610
155,پژو، 206,18,19,300,608
156,پژو، 206,222,9,100,285
157,پژو، 206,145,14,300,392
158,پژو، 206,270,3,100,195
159,پژو، 206,400,5,100,200
160,پژو، 206,110,16,300,450
161,پژو، 206,47,19,300,555
162,پژو، 206,59,18,300,530
163,پژو، 206,330,5,100,225
164,پژو، 206,140,17,100,390
165,پژو، 206,30,21,100,560
166,پژو، 206,160,16,100,403
167,پژو، 206,66,19,100,463
168,پژو، 206,80,18,100,460
169,پژو، 206,88,14,300,400
170,پژو، 206,60,18,300,540
171,پژو، 206,60,18,100,440
172,پژو، 206,74,18,100,450
173,پژو، 206,78,18,300,530
174,پژو، 206,130,17,100,400
175,پژو، 206,50,14,300,470
176,پژو، 206,200,9,200,395
177,پژو، 206,46,20,100,512
178,پژو، 206,107,13,300,389
179,پژو، 206,96,18,100,400
180,پژو، 206,117,14,300,400
181,پژو، 206,114,17,100,419
182,پژو، 206,103,17,300,450
183,پژو، 206,95,13,300,385
184,پژو، 206,40,21,100,555
185,پژو، 206,50,20,100,490
186,پژو، 206,400,6,100,230
