id,name,mileage,model,trim,price
1,رنو، تندر 90,117,9,300,550
2,رنو، تندر 90,119,11,300,635
3,رنو، تندر 90,165,10,300,525
4,رنو، تندر 90,300,2,200,315
5,رنو، تندر 90,290,4,200,365
6,رنو، تندر 90,240,6,300,440
7,رنو، تندر 90,107,5,200,430
8,رنو، تندر 90,49,12,400,960
9,رنو، تندر 90,114,11,400,660
10,رنو، تندر 90,86,12,300,635
11,رنو، تندر 90,198,11,400,670
12,رنو، تندر 90,248,2,300,363
13,رنو، تندر 90,337,1,100,300
14,رنو، تندر 90,176,11,400,650
15,رنو، تندر 90,85,10,300,550
16,رنو، تندر 90,67,10,300,605
17,رنو، تندر 90,268,6,300,450
18,رنو، تندر 90,200,10,400,660
19,رنو، تندر 90,90,12,400,920
20,رنو، تندر 90,80,12,300,700
21,رنو، تندر 90,233,1,200,310
22,رنو، تندر 90,110,10,300,550
23,رنو، تندر 90,170,10,300,471
24,رنو، تندر 90,326,5,300,385
25,رنو، تندر 90,67,11,300,650
26,رنو، تندر 90,280,1,300,350
27,رنو، تندر 90,141,11,300,648
28,رنو، تندر 90,110,11,300,595
29,رنو، تندر 90,198,10,400,610
30,رنو، تندر 90,110,11,400,710
31,رنو، تندر 90,220,11,300,615
32,رنو، تندر 90,66,11,300,650
33,رنو، تندر 90,161,11,300,365
34,رنو، تندر 90,134,11,400,800
35,رنو، تندر 90,168,4,300,415
36,رنو، تندر 90,170,11,400,850
37,رنو، تندر 90,21,12,300,739
38,رنو، تندر 90,262,4,300,420
39,رنو، تندر 90,260,1,200,277
40,رنو، تندر 90,72,11,300,660
41,رنو، تندر 90,176,11,400,650
42,رنو، تندر 90,135,10,400,620
43,رنو، تندر 90,110,10,300,610
44,رنو، تندر 90,142,2,200,315
45,رنو، تندر 90,210,9,300,400
46,رنو، تندر 90,117,7,300,435
47,رنو، تندر 90,295,2,300,297
48,رنو، تندر 90,89,11,300,610
49,رنو، تندر 90,85,11,300,620
50,رنو، تندر 90,162,9,400,595
51,رنو، تندر 90,170,6,300,450
52,رنو، تندر 90,180,4,300,396
53,رنو، تندر 90,276,6,300,408
54,رنو، تندر 90,111,11,300,650
55,رنو، تندر 90,306,1,300,350
56,رنو، تندر 90,212,10,400,630
57,رنو، تندر 90,140,10,300,580
58,رنو، تندر 90,51,12,300,700
59,رنو، تندر 90,79,11,300,495
60,رنو، تندر 90,136,10,400,690
61,رنو، تندر 90,160,10,400,660
62,رنو، تندر 90,90,12,400,890
63,رنو، تندر 90,147,6,300,450
64,رنو، تندر 90,67,11,300,650
65,رنو، تندر 90,72,11,300,660
66,رنو، تندر 90,257,2,300,365
67,رنو، تندر 90,250,2,200,340
68,رنو، تندر 90,186,7,400,540
69,رنو، تندر 90,180,10,400,599
70,رنو، تندر 90,274,4,300,380
71,رنو، تندر 90,207,7,400,500
72,رنو، تندر 90,135,10,300,575
73,رنو، تندر 90,170,11,400,680
74,رنو، تندر 90,72,12,300,720
75,رنو، تندر 90,100,11,300,600
76,رنو، تندر 90,197,10,300,550
77,رنو، تندر 90,82,12,300,680
78,رنو، تندر 90,82,12,500,680
79,رنو، تندر 90,264,1,200,310
80,رنو، تندر 90,160,11,300,535
81,رنو، تندر 90,80,11,300,650
82,رنو، تندر 90,99,11,300,620
83,رنو، تندر 90,243,2,300,350
84,رنو، تندر 90,300,6,300,360
85,رنو، تندر 90,365,4,300,280
86,رنو، تندر 90,360,6,300,400
87,رنو، تندر 90,278,4,300,385
88,رنو، تندر 90,124,5,300,350
89,رنو، تندر 90,287,6,300,298
90,رنو، تندر 90,248,8,400,585
91,رنو، تندر 90,300,2,300,350
92,رنو، تندر 90,146,11,300,615
93,رنو، تندر 90,211,9,300,510
94,رنو، تندر 90,320,5,300,350
95,رنو، تندر 90,320,1,300,310
96,رنو، تندر 90,230,5,300,390
97,رنو، تندر 90,125,5,300,398
98,رنو، تندر 90,166,6,200,380
99,رنو، تندر 90,180,10,300,560
100,رنو، تندر 90,200,6,300,375
101,رنو، تندر 90,360,4,100,359
102,رنو، تندر 90,50,11,300,550
103,رنو، تندر 90,180,10,300,550
104,رنو، تندر 90,75,10,300,575
105,رنو، تندر 90,153,11,300,610
106,رنو، تندر 90,230,10,400,680
107,رنو، تندر 90,65,10,300,610
108,رنو، تندر 90,157,9,300,530
109,رنو، تندر 90,125,11,300,610
110,رنو، تندر 90,180,11,300,650
111,رنو، تندر 90,234,10,400,660
112,رنو، تندر 90,216,9,300,530
113,رنو، تندر 90,88,11,300,580
114,رنو، تندر 90,78,11,300,620
115,رنو، تندر 90,34,12,400,930
116,رنو، تندر 90,165,10,300,600
117,رنو، تندر 90,82,11,300,618
118,رنو، تندر 90,240,10,300,540
119,رنو، تندر 90,226,3,300,350
120,رنو، تندر 90,122,6,300,455
121,رنو، تندر 90,102,11,300,590
122,رنو، تندر 90,300,9,300,530
123,رنو، تندر 90,133,11,400,820
124,رنو، تندر 90,88,12,300,650
125,رنو، تندر 90,150,11,300,590
126,رنو، تندر 90,150,11,300,600
127,رنو، تندر 90,150,12,300,650
128,رنو، تندر 90,345,1,300,270
129,رنو، تندر 90,173,2,300,340
130,رنو، تندر 90,207,1,300,298
131,رنو، تندر 90,200,6,200,395
132,رنو، تندر 90,227,5,300,397
133,رنو، تندر 90,270,6,300,410
134,رنو، تندر 90,259,5,200,360
135,رنو، تندر 90,180,10,400,630
136,رنو، تندر 90,81,9,400,640
137,رنو، تندر 90,270,5,200,395
138,رنو، تندر 90,230,2,300,375
139,رنو، تندر 90,83,11,300,665
140,رنو، تندر 90,220,12,500,599
141,رنو، تندر 90,135,10,300,525
142,رنو، تندر 90,200,6,300,385
143,رنو، تندر 90,98,12,300,655
144,رنو، تندر 90,220,2,200,320
145,رنو، تندر 90,142,11,300,629
146,رنو، تندر 90,200,4,200,370
147,رنو، تندر 90,175,4,200,360
148,رنو، تندر 90,107,3,100,330
149,رنو، تندر 90,112,10,300,585
150,رنو، تندر 90,160,11,400,730
151,رنو، تندر 90,428,5,200,360
152,رنو، تندر 90,289,2,300,358
153,رنو، تندر 90,83,12,300,680
154,رنو، تندر 90,227,2,300,280
155,رنو، تندر 90,392,3,300,320
156,رنو، تندر 90,250,6,200,400
157,رنو، تندر 90,120,12,300,510
158,رنو، تندر 90,138,7,400,550
159,رنو، تندر 90,245,4,100,350
160,رنو، تندر 90,152,10,400,610
161,رنو، تندر 90,173,7,300,490
162,رنو، تندر 90,123,11,300,580
163,رنو، تندر 90,196,9,400,600
164,رنو، تندر 90,117,9,300,560
165,رنو، تندر 90,178,2,300,323
166,رنو، تندر 90,336,2,300,260
167,رنو، تندر 90,178,6,300,435
168,رنو، تندر 90,55,11,300,600
169,رنو، تندر 90,134,11,300,620
170,رنو، تندر 90,128,12,300,605
171,رنو، تندر 90,312,6,200,375
172,رنو، تندر 90,151,10,300,560
173,رنو، تندر 90,200,4,200,370
174,رنو، تندر 90,230,5,200,440
175,رنو، تندر 90,165,9,300,550
176,رنو، تندر 90,250,6,300,355
177,رنو، تندر 90,206,2,200,319
178,رنو، تندر 90,105,11,400,450
179,رنو، تندر 90,190,4,300,375
180,رنو، تندر 90,360,4,100,360
181,رنو، تندر 90,78,7,400,550
182,رنو، تندر 90,130,9,300,520
183,رنو، تندر 90,146,11,400,685
184,رنو، تندر 90,145,10,300,550
185,رنو، تندر 90,130,11,300,620
186,رنو، تندر 90,184,11,400,630
187,رنو، تندر 90,300,6,300,350
188,رنو، تندر 90,265,4,300,380
189,رنو، تندر 90,247,1,300,250
190,رنو، تندر 90,104,11,300,595
191,رنو، تندر 90,120,10,400,630
192,رنو، تندر 90,200,6,200,428
193,رنو، تندر 90,195,7,300,475
194,رنو، تندر 90,108,10,300,600
195,رنو، تندر 90,222,10,300,488
196,رنو، تندر 90,342,6,300,440
197,رنو، تندر 90,190,11,300,530
198,رنو، تندر 90,110,11,300,560
199,رنو، تندر 90,400,2,300,290
200,رنو، تندر 90,170,6,300,410
201,رنو، تندر 90,290,2,300,310
202,رنو، تندر 90,225,11,400,620
203,رنو، تندر 90,276,6,300,330
204,رنو، تندر 90,180,9,400,543
205,رنو، تندر 90,220,10,300,423
